Month,Closed Loop (Ridership),Closed Loop %,QR Tickets (Ridership),QR %,NCMC (Ridership),NCMC %,Total Passenger Flow
Apr-23,"43,77,813",65.15%,"23,39,724",34.82%,"1,973",0.03%,"67,19,510"
May-23,"46,17,409",63.26%,"26,76,546",36.67%,"5,138",0.07%,"72,99,093"
Jun-23,"48,73,031",65.90%,"25,15,727",34.02%,"5,938",0.08%,"73,94,696"
Jul-23,"51,89,442",62.87%,"29,10,875",35.26%,"1,54,244",1.87%,"82,54,561"
Aug-23,"50,89,362",59.25%,"31,05,583",36.15%,"3,95,267",4.60%,"85,90,212"
Sep-23,"46,39,304",54.99%,"32,54,175",38.57%,"5,43,703",6.44%,"84,37,182"
Oct-23,"44,77,119",52.36%,"34,20,155",40.00%,"6,53,161",7.64%,"85,50,435"
Nov-23,"40,59,639",50.73%,"32,33,710",40.41%,"7,08,351",8.85%,"80,01,700"
Dec-23,"37,12,884",45.71%,"37,11,580",45.69%,"6,98,817",8.60%,"81,23,281"
Jan-24,"38,17,160",45.09%,"37,46,808",44.26%,"9,02,342",10.66%,"84,66,310"
Feb-24,"39,32,344",45.63%,"35,05,644",40.68%,"11,80,126",13.69%,"86,18,114"
Mar-24,"38,24,407",44.05%,"34,62,083",39.87%,"13,95,969",16.08%,"86,82,459"
Apr-24,"33,89,863",41.91%,"33,34,498",41.23%,"13,63,351",16.86%,"80,87,712"
May-24,"32,68,680",38.81%,"36,97,776",43.91%,"14,55,164",17.28%,"84,21,620"
Jun-24,"31,67,520",37.56%,"37,05,316",43.93%,"15,61,001",18.51%,"84,33,837"
Jul-24,"35,66,434",37.40%,"39,72,106",41.66%,"19,96,479",20.94%,"95,35,019"
Aug-24,"33,64,866",35.22%,"41,06,716",42.99%,"20,81,098",21.79%,"95,52,680"
Sep-24,"31,13,865",33.56%,"40,73,640",43.91%,"20,90,678",22.53%,"92,78,183"
Oct-24,"28,97,855",32.11%,"40,75,666",45.16%,"20,50,699",22.72%,"90,24,220"
Nov-24,"27,56,837",32.97%,"35,62,463",42.61%,"20,42,192",24.42%,"83,61,492"
Dec-24,"27,60,660",31.59%,"37,74,277",43.19%,"22,03,456",25.22%,"87,38,393"
Jan-25,"23,88,008",27.45%,"37,80,386",43.46%,"25,30,965",29.09%,"86,99,359"
Feb-25,"14,87,132",17.16%,"37,56,385",43.35%,"34,22,286",39.49%,"86,65,803"
Mar-25,"9,91,621",10.77%,"39,65,992",43.06%,"42,52,456",46.17%,"92,10,069"
Apr-25,"6,17,424",7.05%,"39,11,883",44.66%,"42,30,281",48.29%,"87,59,588"
May-25,"5,87,872",6.60%,"42,33,865",47.52%,"40,87,992",45.88%,"89,09,729"
Jun-25,"6,10,579",6.62%,"42,05,806",45.62%,"44,03,578",47.76%,"92,19,963"
Jul-25,"6,52,808",6.24%,"46,51,897",44.44%,"51,64,027",49.33%,"1,04,68,732"
Aug-25,"2,25,972",2.28%,"47,98,432",48.49%,"48,71,826",49.23%,"98,96,230"
Sep-25,"1,15,761",1.14%,"48,34,104",47.64%,"51,96,904",51.22%,"1,01,46,769"
Oct-25,"77,241",0.83%,"44,91,334",48.15%,"47,59,171",51.02%,"93,27,746"
Nov-25,"60,325",0.65%,"43,77,946",47.14%,"48,48,485",52.21%,"92,86,756"
Dec-25,"51,828",0.55%,"45,45,701",48.02%,"48,68,978",51.43%,"94,66,507"
Jan-26,"44,660",0.48%,"46,23,635",49.60%,"46,52,834",49.92%,"93,21,129"
Feb-26,"38,205",0.40%,"46,68,552",48.54%,"49,11,328",51.06%,"96,18,085"
Mar-26,"33,349",0.33%,"48,60,707",47.73%,"52,90,363",51.95%,"1,01,84,419"
Apr-26,"25,660",0.29%,"44,33,897",49.39%,"45,18,247",50.33%,"89,77,804"
May-26,"1,863",0.02%,"47,11,455",52.55%,"42,51,729",47.43%,"89,65,047"
Jun-26,-,0.00%,"47,55,581",49.34%,"48,83,485",50.66%,"96,39,066"
