city,timestamp,station_name,line,station_type,hour,day_of_week,is_weekend,weather,event_nearby,entries,exits,crowding_index,crowding_label
Bengaluru,2023-01-01 00:00:00,Majestic,Purple Line,Transit Hub,0,6,1,Sunny,0,0,32,0.011,Low
Chennai,2023-01-01 00:00:00,Chennai Central,Blue Line,Commercial,0,6,1,Sunny,0,7,20,0.019,Low
Delhi,2023-01-01 00:00:00,Adarsh Nagar,Yellow Line,Residential,0,6,1,Sunny,0,8,7,0.007,Low
Hyderabad,2023-01-01 00:00:00,Miyapur,Red Line,Residential,0,6,1,Sunny,0,0,0,0.0,Low
Kolkata,2023-01-01 00:00:00,Salt Lake Sector V,Green Line,Commercial,0,6,1,Sunny,0,0,18,0.013,Low
Mumbai,2023-01-01 00:00:00,Versova,Line 1,Mixed/Retail,0,6,1,Sunny,0,21,0,0.012,Low
Bengaluru,2023-01-01 01:00:00,Majestic,Purple Line,Transit Hub,1,6,1,Sunny,0,6,0,0.002,Low
Chennai,2023-01-01 01:00:00,Chennai Central,Blue Line,Commercial,1,6,1,Sunny,0,26,0,0.018,Low
Delhi,2023-01-01 01:00:00,Adarsh Nagar,Yellow Line,Residential,1,6,1,Sunny,0,11,0,0.008,Low
Hyderabad,2023-01-01 01:00:00,Miyapur,Red Line,Residential,1,6,1,Sunny,0,0,8,0.008,Low
Kolkata,2023-01-01 01:00:00,Salt Lake Sector V,Green Line,Commercial,1,6,1,Sunny,0,0,7,0.005,Low
Mumbai,2023-01-01 01:00:00,Versova,Line 1,Mixed/Retail,1,6,1,Sunny,0,3,10,0.009,Low
Bengaluru,2023-01-01 02:00:00,Majestic,Purple Line,Transit Hub,2,6,1,Overcast,0,6,27,0.013,Low
Chennai,2023-01-01 02:00:00,Chennai Central,Blue Line,Commercial,2,6,1,Overcast,0,0,3,0.002,Low
Delhi,2023-01-01 02:00:00,Adarsh Nagar,Yellow Line,Residential,2,6,1,Overcast,0,11,22,0.015,Low
Hyderabad,2023-01-01 02:00:00,Miyapur,Red Line,Residential,2,6,1,Overcast,0,0,20,0.014,Low
Kolkata,2023-01-01 02:00:00,Salt Lake Sector V,Green Line,Commercial,2,6,1,Overcast,0,45,21,0.035,Low
Mumbai,2023-01-01 02:00:00,Versova,Line 1,Mixed/Retail,2,6,1,Overcast,0,14,24,0.037,Low
Bengaluru,2023-01-01 03:00:00,Majestic,Purple Line,Transit Hub,3,6,1,Rainy,0,11,14,0.011,Low
Chennai,2023-01-01 03:00:00,Chennai Central,Blue Line,Commercial,3,6,1,Rainy,0,0,0,0.0,Low
Delhi,2023-01-01 03:00:00,Adarsh Nagar,Yellow Line,Residential,3,6,1,Rainy,0,2,31,0.015,Low
